screen_id,screen_name,platform,user_role,purpose,required_data,primary_actions,empty_state,loading_state,error_state,permission,moderation_requirement,release,change_vs_current_ui
A-BLK-001,Quan hệ chặn,Admin Web,Support / Trust & Safety,Inspect block records for support/safety without enabling arbitrary contact.,Block actors/targets; timestamps; related cases.,Filter; open related case; no routine forced unblock.,No records.,Table skeleton.,Query error.,Restricted; privacy-sensitive.,Audit any exceptional override.,V1,New.
A-GIFT-001,Danh mục quà,Admin Web,Product / Finance Admin,Manage 20 gift items and active state.,Catalog; price units; icons; history; active state.,Create draft; edit; reorder; deactivate.,No catalog is a release blocker.,Table/grid skeleton.,Config/query error.,Authorized Product/Finance role.,Gift names/icons policy-reviewed.,V1,New.
A-GIFT-002,Chi tiết / chỉnh sửa quà,Admin Web,Product / Finance Admin,Change future catalog presentation without altering history.,Gift; current/future price; usage history; audit.,Save; deactivate; upload icon.,Not applicable.,Saving/uploading.,Invalid price outside 1–100 ❤️; conflict.,Authorized role; no physical delete if used.,Icon/copy review and audit.,V1,New.
A-PAY-001,Google Play purchases,Admin Web,Finance / Support Admin,"Reconcile verified, pending, refunded and revoked purchases.",Purchase records; masked token; order; product; units; settlement fields.,Search; filter; open; export controlled.,No purchases.,Table skeleton.,Query/reconciliation source error.,Finance/support scoped; token masked.,Financial audit.,V1,New.
A-PAY-002,Chi tiết Play purchase,Admin Web,Finance / Support Admin,"Trace purchase through credit, gifts, refund and debt.",Purchase; verification; ledger; allocation lots; refund events.,Open linked records; create support case; no direct balance edit.,Not applicable.,Section skeletons.,Partial reconciliation error.,Finance role for settlement details.,Immutable evidence.,V1,New.
A-PAY-003,Gift transactions,Admin Web,Finance / Trust & Safety,Search and reconcile gift commands.,Gift transaction; sender/recipient; snapshots; status; ledger references.,Filter; open; place hold through controlled action.,No gifts.,Table skeleton.,Query error.,Role-scoped PII.,Message/content context only for authorized safety role.,V1,New.
A-PAY-004,Chi tiết Gift transaction,Admin Web,Finance / Trust & Safety,"Trace atomic debit, Creator reward, Fan progress and reversals.",Gift; heart ledger; reward ledger; message; risk case; config snapshot.,Open links; initiate controlled reversal/hold where authorized.,Not applicable.,Section loading.,Reconciliation mismatch alert.,Restricted by module role.,All actions audited; no silent edits.,V1,New.
A-REF-001,Refunds / revocations,Admin Web,Finance / Risk,Process Google refunds and identify recovery impact.,Events; purchase; unused units; linked gifts; heart debt; Creator recovery.,Open case; run idempotent processing; hold/escalate.,No refunds.,Table skeleton.,Webhook/query/processing error.,Finance/Risk only.,Financial/fraud audit.,V1,New.
A-REF-002,Chi tiết Refund,Admin Web,Finance / Risk,Review deterministic allocation and reversal outcome.,Refund event; lot allocation; reward states; debt/recovery; notifications.,Approve exception; retry idempotently; close case.,Not applicable.,Processing timeline.,Reconciliation invariant failure blocks close.,Finance/Risk; dual control for exceptions.,Immutable case/audit.,V1,New.
A-KYC-001,KYC queue,Admin Web,KYC Reviewer,Review Creator identity applications.,KYC status; provider result; risk flags; assignment.,Assign; open; filter.,No pending KYC.,Table skeleton.,Provider/query error.,KYC role only.,Highly sensitive; no export by default.,V1,New.
A-KYC-002,KYC review,Admin Web,KYC Reviewer,"Approve, reject or request resubmission.",Secure KYC evidence; profile; age; bank ownership summary; prior decisions.,Approve; reject; resubmit; escalate.,Evidence unavailable.,Secure document loading.,Access/provider/decision conflict.,KYC role; short-lived secure access.,Reason and audit mandatory; no data in analytics.,V1,New.
A-WDR-001,Withdrawal queue,Admin Web,Finance / Payout Admin,Review manually submitted Creator withdrawals.,Request; reserved units; KYC/bank; holds; recovery; limits.,Assign; approve; reject; hold.,No pending withdrawals.,Table skeleton.,Query/eligibility recompute error.,Finance/Payout role.,Financial/audit.,V1,New.
A-WDR-002,Withdrawal review & payment,Admin Web,Finance / Payout Admin,Record controlled manual payout.,Request timeline; masked bank; amount; reservations; approvals.,Approve; mark processing; record paid reference; fail/release.,Not applicable.,Action processing.,"Stale reservation, insufficient role, duplicate payment reference.",Restricted; dual control above threshold.,Immutable audit and payment reference.,V1,New.
A-AUD-001,Audit logs,Admin Web,Security / Compliance Admin,"Search immutable Admin, moderation and financial actions.",Actor; action; target; before/after refs; reason; timestamp; correlation ID.,Filter; inspect; export controlled.,No matching events.,Table skeleton.,Query/export error.,Highly restricted; append-only.,Audit integrity monitored.,V1,New.
A-CFG-001,App configuration,Admin Web,Authorized Product / Finance / Security Admin,Version safe business and risk settings.,Config keys; type; effective dates; old/new values; environment.,Create future version; approve; rollback prospectively.,No config is a release blocker.,Table/form loading.,Validation/sum/invariant/permission error.,Key-specific roles; no client authority.,All changes audited.,V1,"New; includes heart rate, share bps, hold days, limits, Fan and location fuzz configs."
A-DEL-001,Yêu cầu xóa tài khoản,Admin Web,Privacy / Support Admin,Process deletion requests and lawful retention.,Request; identity verification; grace date; retained records; legal holds.,Approve; execute workflow; cancel if user requested; record completion.,No requests.,Table/detail loading.,Legal hold/conflict/workflow error.,Privacy role; no manual ad-hoc deletion.,Privacy audit.,V1,New.
A-APL-001,Khiếu nại & enforcement appeals,Admin Web,Trust & Safety,Review eligible moderation/account appeals.,Appeal; original decision; new evidence; policy version.,Uphold; reverse via new decision; escalate.,No appeals.,Queue skeleton.,Query/action error.,Independent authorized reviewer where possible.,Every outcome audited.,V1,New.
A-CHILD-001,Child safety cases,Admin Web,Designated Child Safety team,Handle suspected underage/CSAE/CSAM cases under strict procedure.,Case metadata; preserved evidence references; legal/reporting workflow; contact log.,Restrict account; escalate; record required reporting steps.,No cases.,Secure case loading.,Access/evidence system error triggers emergency process.,Strict designated role only.,Highest sensitivity; no ordinary moderator access.,V1,New operational requirement before public launch.
W-HOME-001,Trang giới thiệu MyFan,Public Web,Public,Explain Social Creator 18+ positioning and link official policies/support.,Localized marketing content; app availability.,Read; open app/store; legal/support links.,Not applicable.,Static loading.,Fallback static error page.,Public.,Marketing assets reviewed; no compensated-dating language.,V1,New public web foundation.
W-CREATOR-001,Public Creator profile,Public Web,Public,Show a minimal approved Creator profile without private/social-only data.,Approved public fields/media; public handle; safety links.,Open app; report via supported route; share.,Unavailable/private/deleted.,Profile skeleton.,Not found/load error.,Public approved subset only; no location coordinates/Fan media.,Only approved media.,V1,New; no prototype web equivalent.
W-LEGAL-001,Privacy Policy,Public Web,Public,Publish data practices and rights.,Versioned policy content; effective date; contact.,Navigate; download/print.,Not applicable.,Static loading.,Fallback cached policy.,Public.,Legal-controlled.,V1,New mandatory page.
W-LEGAL-002,Terms of Service,Public Web,Public,"Publish account, virtual economy and conduct terms.",Versioned Terms; effective date.,Navigate; download/print.,Not applicable.,Static loading.,Fallback cached terms.,Public.,Legal-controlled.,V1,New mandatory page.
W-LEGAL-003,Community Standards,Public Web,Public,"Publish UGC, safety and prohibited-content standards.",Versioned standards; report links.,Navigate; report/support.,Not applicable.,Static loading.,Fallback cached standards.,Public.,Trust & Safety controlled.,V1,New mandatory page.
W-LEGAL-004,Child Safety Standards,Public Web,Public,"Publish CSAE/CSAM prevention, reporting and designated contact.",Standards; reporting path; contact; effective date.,Report concern; contact safety team.,Not applicable.,Static loading.,Emergency fallback contact page.,Public.,Child Safety/Legal controlled.,V1,New mandatory page before public launch.
W-LEGAL-005,Creator Terms,Public Web,Public / Creator applicant,"Publish Creator reward, hold, refund and payout rules.",Versioned Creator Terms; current split/config disclosures.,Read; open Creator onboarding.,Not applicable.,Static loading.,Fallback cached terms.,Public.,Legal/Finance controlled.,V1,New mandatory page.
W-DELETE-001,Yêu cầu xóa tài khoản,Public Web,Account holder,Provide external account deletion request route.,Account identifier; verification challenge; deletion policy.,Verify; request deletion; contact support.,Not applicable.,Submitting/verification.,Generic verification error; do not reveal account existence.,Verified account ownership.,Privacy/audit.,V1,New mandatory public deletion route.
W-DELETE-002,Trạng thái yêu cầu xóa,Public Web,Verified requester,Show reference and next steps without exposing account data.,Deletion reference; status; dates.,Cancel if eligible; contact support.,No matching verified request.,Status loading.,Verification/status error.,Verified ownership/reference.,Privacy/audit.,V1,New.
W-SUPPORT-001,Hỗ trợ,Public Web,Public,"Offer contact, billing, safety and account help.",FAQ; contact categories; service status.,Submit ticket; open safety/deletion links.,No articles for query.,Article/search loading.,Submission error with alternative channel.,Public; authenticated context optional.,Support content reviewed.,V1,New.
W-SAFETY-001,Trung tâm an toàn,Public Web,Public,"Centralize safety, report, block, moderation and appeal information.",Safety articles; emergency guidance; standards links.,Read; report; contact.,Not applicable.,Static loading.,Fallback safety contact.,Public.,Trust & Safety controlled.,V1,New.
FUT-MSG-001,VIP nhắn chủ động người lạ,Mobile,Future paid tier,Potential stranger messaging capability.,Feature flag; entitlement; abuse controls.,Disabled.,Feature unavailable.,Not applicable.,Not available.,No V1 permission.,Requires new policy/safety review.,Future — OFF,Prototype G5 proposes 50 users; explicitly disabled in V1.
FUT-MSG-002,Thương gia nhắn hàng loạt,Mobile / Admin,Future commercial tier,Potential bulk outreach.,Feature flag; campaign controls; consent.,Disabled.,Feature unavailable.,Not applicable.,Not available.,No V1 permission.,High spam/anonymous-chat risk.,Future — OFF,Prototype G5 proposes 100 users; remove from V1 UI.
FUT-MEDIA-001,Video,Mobile,Future,Upload/view video.,Future media pipeline.,Disabled.,Feature unavailable.,Not applicable.,Not available.,No V1 permission.,Requires video moderation.,Future — OFF,Not in V1.
FUT-MEDIA-002,Livestream,Mobile / Admin,Future Creator,Broadcast live content.,Future live infrastructure and moderation.,Disabled.,Feature unavailable.,Not applicable.,Not available.,No V1 permission.,Requires real-time safety operations.,Future — OFF,Not in V1.
FUT-LOC-001,Bản đồ pin vị trí chính xác,Mobile,Future / prohibited by current principle,Show exact user location.,Exact coordinates.,Disabled.,Feature unavailable.,Not applicable.,Not available.,No permission.,Unacceptable stalking/privacy risk without major redesign.,Future — OFF,Must not ship; replace with fuzzy distance bands.
FUT-PAY-001,Rút tiền tự động,Mobile / Backend,Future Creator,Automated payout.,Payout provider and risk automation.,Disabled.,Manual review only.,Not applicable.,Not available.,No V1 permission.,Financial/compliance review required.,Future — OFF,V1 uses manual Admin approval and transfer.
FUT-PAY-002,VietQR mua ❤️ trong Android app,Mobile Android,Future / policy-dependent,External digital-goods checkout.,External payment config.,Disabled.,Not available.,Not applicable.,Not available.,No V1 permission.,Google Play policy/legal approval required.,Future — OFF,Remove prototype E3 entirely from Android purchase flow.
FUT-PAY-003,Google Pay thay Google Play Billing,Mobile Android,Future / not approved,External substitute for digital-goods billing.,External payment config.,Disabled.,Not available.,Not applicable.,Not available.,No V1 permission.,Payments policy review required.,Future — OFF,Do not implement for ❤️ in V1.
FUT-CONTENT-001,Album Fan chưa kiểm duyệt,Mobile,Prohibited,Expose pending/unreviewed media.,Pending media.,Disabled.,Not available.,Not applicable.,Not available.,No permission.,Violates moderated UGC principle.,Future — OFF / prohibited,Never show pending Fan media.
FUT-RANK-001,Bảng xếp hạng công khai theo tiền/chi tiêu,Mobile / Public,Future,Rank users by monetary spending or receiving.,Financial totals.,Disabled.,Not available.,Not applicable.,Not available.,No V1 permission.,"Compensated-dating, privacy and coercion risk.",Future — OFF,Prototype E5 and money leaderboard removed from V1; any later ranking must be policy-reviewed and ❤️-only.
FUT-MEMBER-001,Hạng VIP / Thương gia,Mobile,Future,Offer non-risky platform benefits.,Entitlements; Play products or hearts; feature flags.,Disabled in V1.,Not available.,Not applicable.,Not available.,No V1 permission.,Must not grant stranger/bulk messaging or paid relationship access.,Future — OFF,Prototype G5 deferred; redesign benefits before consideration.
